lane_id	source_center	destination_center	route_type	segment_count	trip_count	delayed_segment_count	sla_breach_count	delay_frequency_pct	sla_breach_rate_pct	avg_delay_minutes	avg_delay_ratio	delay_frequency_rank
IND751002AAB -> IND562132AAA | FTL	IND751002AAB	IND562132AAA	FTL	706	13	681	237	96.46	33.57	22.75	2.15	22
IND000000ACB -> IND842001AAA | FTL	IND000000ACB	IND842001AAA	FTL	720	19	680	197	94.44	27.36	18.54	1.89	23
IND000000ACB -> IND834002AAB | FTL	IND000000ACB	IND834002AAB	FTL	727	16	654	161	89.96	22.15	15	1.77	24
IND000000ACB -> IND160002AAC | FTL	IND000000ACB	IND160002AAC	FTL	656	58	643	225	98.02	34.30	26.88	2.23	25
IND000000ACB -> IND821115AAB | FTL	IND000000ACB	IND821115AAB	FTL	665	18	613	193	92.18	29.02	16.12	1.85	26
IND421302AAG -> IND712311AAA | FTL	IND421302AAG	IND712311AAA	FTL	664	9	597	202	89.91	30.42	18.12	1.91	27
IND421302AAG -> IND501359AAE | FTL	IND421302AAG	IND501359AAE	FTL	671	24	592	222	88.23	33.08	18.84	1.95	28
IND000000ACB -> IND521225AAB | FTL	IND000000ACB	IND521225AAB	FTL	682	11	591	158	86.66	23.17	17.17	2.22	29
IND562132AAA -> IND462022AAA | FTL	IND562132AAA	IND462022AAA	FTL	625	13	580	151	92.80	24.16	20.14	1.86	30
IND501359AAE -> IND462022AAA | FTL	IND501359AAE	IND462022AAA	FTL	613	20	569	207	92.82	33.77	20.82	2.01	31
IND712311AAA -> IND000000ACB | FTL	IND712311AAA	IND000000ACB	FTL	657	11	547	156	83.26	23.74	15.18	1.92	32
IND825409AAA -> IND000000ACB | FTL	IND825409AAA	IND000000ACB	FTL	613	14	544	149	88.74	24.31	14.2	1.74	33
IND382430AAB -> IND000000ACB | FTL	IND382430AAB	IND000000ACB	FTL	558	17	541	132	96.95	23.66	20.34	3.52	34
IND000000ACB -> IND382430AAB | FTL	IND000000ACB	IND382430AAB	FTL	556	17	533	122	95.86	21.94	15.83	2.02	35
IND209304AAA -> IND000000ACB | FTL	IND209304AAA	IND000000ACB	FTL	627	35	524	151	83.57	24.08	16.04	1.83	36
IND462022AAA -> IND209304AAA | FTL	IND462022AAA	IND209304AAA	FTL	525	25	504	167	96.00	31.81	18.98	2.09	37
IND560099AAB -> IND560300AAA | Carting	IND560099AAB	IND560300AAA	Carting	605	121	504	157	83.31	25.95	10.34	1.87	38
IND562132AAA -> IND560300AAA | Carting	IND562132AAA	IND560300AAA	Carting	589	151	488	129	82.85	21.90	9.67	1.74	39
IND411033AAA -> IND421302AAG | FTL	IND411033AAA	IND421302AAG	FTL	519	107	485	126	93.45	24.28	21.07	1.83	40
IND501359AAE -> IND411033AAA | FTL	IND501359AAE	IND411033AAA	FTL	480	20	444	164	92.50	34.17	18.49	2.01	41
IND110037AAM -> IND209304AAA | FTL	IND110037AAM	IND209304AAA	FTL	449	25	441	124	98.22	27.62	20.23	1.92	42
IND462022AAA -> IND000000ACB | FTL	IND462022AAA	IND000000ACB	FTL	674	26	440	119	65.28	17.66	15.25	1.52	43
IND562132AAA -> IND411033AAA | FTL	IND562132AAA	IND411033AAA	FTL	442	13	422	63	95.48	14.25	12.04	1.77	44
IND421302AAG -> IND444005AAB | FTL	IND421302AAG	IND444005AAB	FTL	419	20	418	232	99.76	55.37	25.21	2.35	45
IND444005AAB -> IND421302AAG | FTL	IND444005AAB	IND421302AAG	FTL	419	20	413	188	98.57	44.87	23.73	2.22	46
IND751002AAB -> IND712311AAA | FTL	IND751002AAB	IND712311AAA	FTL	420	25	400	130	95.24	30.95	24.42	2.4	47
IND712311AAA -> IND751002AAB | FTL	IND712311AAA	IND751002AAB	FTL	455	27	399	97	87.69	21.32	19.5	2.05	48
IND834002AAB -> IND000000ACB | FTL	IND834002AAB	IND000000ACB	FTL	470	10	392	127	83.40	27.02	14.77	1.76	49
IND110044AAB -> IND000000ACB | Carting	IND110044AAB	IND000000ACB	Carting	453	76	385	103	84.99	22.74	8.43	1.93	50
IND562132AAA -> IND560099AAB | Carting	IND562132AAA	IND560099AAB	Carting	431	89	383	78	88.86	18.10	8.29	1.78	51
IND000000ACB -> IND462022AAA | FTL	IND000000ACB	IND462022AAA	FTL	458	18	382	75	83.41	16.38	15.01	1.57	52
IND000000ACB -> IND390022AAA | FTL	IND000000ACB	IND390022AAA	FTL	385	11	351	79	91.17	20.52	14.72	1.74	53
IND421302AAG -> IND411033AAA | FTL	IND421302AAG	IND411033AAA	FTL	355	72	346	137	97.46	38.59	21.9	2.11	54
IND560300AAA -> IND560099AAB | Carting	IND560300AAA	IND560099AAB	Carting	422	86	342	160	81.04	37.91	14.32	2.02	55
IND421302AAG -> IND462022AAA | FTL	IND421302AAG	IND462022AAA	FTL	358	12	341	144	95.25	40.22	21.23	2.17	56
IND000000ACB -> IND131028AAB | Carting	IND000000ACB	IND131028AAB	Carting	740	92	339	191	45.81	25.81	10.49	1.63	57
IND712311AAA -> IND421302AAG | FTL	IND712311AAA	IND421302AAG	FTL	374	5	338	141	90.37	37.70	21.6	2.22	58
IND131028AAB -> IND000000ACB | Carting	IND131028AAB	IND000000ACB	Carting	757	86	331	132	43.73	17.44	9.35	1.58	59
IND421302AAG -> IND382430AAB | FTL	IND421302AAG	IND382430AAB	FTL	330	18	327	111	99.09	33.64	20.52	2.08	60
IND416012AAA -> IND395023AAA | FTL	IND416012AAA	IND395023AAA	FTL	358	15	324	86	90.50	24.02	14.75	1.76	61
IND560099AAB -> IND562132AAA | Carting	IND560099AAB	IND562132AAA	Carting	371	77	322	72	86.79	19.41	9.67	1.91	62
IND411033AAA -> IND403726AAA | FTL	IND411033AAA	IND403726AAA	FTL	335	20	320	93	95.52	27.76	22.58	1.91	63
IND000000ACB -> IND121002AAB | Carting	IND000000ACB	IND121002AAB	Carting	335	57	317	121	94.63	36.12	11.79	2.72	64
IND411033AAA -> IND562132AAA | FTL	IND411033AAA	IND562132AAA	FTL	338	10	303	57	89.64	16.86	14.87	2.32	65
IND560300AAA -> IND562132AAA | Carting	IND560300AAA	IND562132AAA	Carting	403	108	303	64	75.19	15.88	12.68	1.51	66
IND501359AAE -> IND751002AAB | FTL	IND501359AAE	IND751002AAB	FTL	302	8	302	90	100.00	29.80	20.51	2.05	67
IND411033AAA -> IND521225AAB | FTL	IND411033AAA	IND521225AAB	FTL	341	10	296	102	86.80	29.91	18.09	1.89	68
IND306401AAB -> IND305001AAC | Carting	IND306401AAB	IND305001AAC	Carting	319	20	285	105	89.34	32.92	13.49	2.87	69
IND382430AAB -> IND395023AAA | FTL	IND382430AAB	IND395023AAA	FTL	300	30	283	72	94.33	24.00	16	1.87	70
IND411033AAA -> IND413002AAA | FTL	IND411033AAA	IND413002AAA	FTL	324	27	281	70	86.73	21.60	13.28	1.68	71
IND421302AAG -> IND400072AAB | Carting	IND421302AAG	IND400072AAB	Carting	288	105	279	171	96.88	59.38	14.06	3	72
IND000000ACA -> IND160002AAC | FTL	IND000000ACA	IND160002AAC	FTL	278	70	276	110	99.28	39.57	17.95	2.14	73
IND562132AAA -> IND416012AAA | FTL	IND562132AAA	IND416012AAA	FTL	299	12	268	39	89.63	13.04	10.79	1.7	74
IND000000ACB -> IND201301AAM | Carting	IND000000ACB	IND201301AAM	Carting	304	39	264	84	86.84	27.63	12.37	1.96	75
IND834002AAB -> IND826004AAA | Carting	IND834002AAB	IND826004AAA	Carting	286	21	257	176	89.86	61.54	13.1	2.81	76
IND530012AAA -> IND532001AAB | Carting	IND530012AAA	IND532001AAB	Carting	264	24	255	58	96.59	21.97	5.97	1.82	77
IND411033AAA -> IND431603AAA | FTL	IND411033AAA	IND431603AAA	FTL	253	15	253	96	100.00	37.94	23.59	2.26	78
IND000000ACB -> IND302014AAA | FTL	IND000000ACB	IND302014AAA	FTL	270	30	251	58	92.96	21.48	14.1	1.73	79
IND000000ACB -> IND209304AAA | FTL	IND000000ACB	IND209304AAA	FTL	269	15	250	116	92.94	43.12	21.99	2.15	80
IND562132AAA -> IND421302AAG | FTL	IND562132AAA	IND421302AAG	FTL	258	7	244	37	94.57	14.34	13	1.65	81
IND131028AAB -> IND160002AAC | FTL	IND131028AAB	IND160002AAC	FTL	240	30	238	33	99.17	13.75	11.61	1.71	82
IND600032AAB -> IND600056AAB | Carting	IND600032AAB	IND600056AAB	Carting	246	64	237	85	96.34	34.55	10.24	2.06	83
IND474003AAA -> IND000000ACB | FTL	IND474003AAA	IND000000ACB	FTL	311	26	236	33	75.88	10.61	10.59	1.41	84
IND400072AAD -> IND421302AAG | Carting	IND400072AAD	IND421302AAG	Carting	238	99	235	154	98.74	64.71	23.33	5.5	85
IND530012AAA -> IND501359AAE | FTL	IND530012AAA	IND501359AAE	FTL	237	10	234	88	98.73	37.13	19.13	2.04	86
IND524003AAA -> IND501359AAE | FTL	IND524003AAA	IND501359AAE	FTL	237	14	234	39	98.73	16.46	14.03	1.69	87
IND421302AAG -> IND834002AAB | FTL	IND421302AAG	IND834002AAB	FTL	246	4	233	85	94.72	34.55	21.86	2.06	88
IND515004AAA -> IND501359AAE | FTL	IND515004AAA	IND501359AAE	FTL	236	17	232	41	98.31	17.37	13.43	1.81	89
IND000000ACB -> IND110064AAA | Carting	IND000000ACB	IND110064AAA	Carting	286	48	231	67	80.77	23.43	6.85	1.95	90
IND144001AAC -> IND160002AAC | Carting	IND144001AAC	IND160002AAC	Carting	254	15	230	107	90.55	42.13	9.59	2.49	91
IND532001AAB -> IND530012AAA | Carting	IND532001AAB	IND530012AAA	Carting	232	22	229	72	98.71	31.03	9.38	2.13	92
IND411033AAA -> IND501359AAE | FTL	IND411033AAA	IND501359AAE	FTL	263	11	229	66	87.07	25.10	14.68	1.76	93
IND821115AAB -> IND000000ACB | FTL	IND821115AAB	IND000000ACB	FTL	257	7	222	72	86.38	28.02	16.95	1.92	94
IND821115AAB -> IND209304AAA | FTL	IND821115AAB	IND209304AAA	FTL	239	12	215	59	89.96	24.69	12.68	1.77	95
IND562132AAA -> IND712311AAA | FTL	IND562132AAA	IND712311AAA	FTL	216	3	214	73	99.07	33.80	22.18	2.17	96
IND403726AAA -> IND411033AAA | FTL	IND403726AAA	IND411033AAA	FTL	229	14	209	58	91.27	25.33	22.29	1.9	97
IND842001AAA -> IND854326AAB | FTL	IND842001AAA	IND854326AAB	FTL	209	19	207	53	99.04	25.36	17.73	2.21	98
IND000000ACT -> IND160002AAC | FTL	IND000000ACT	IND160002AAC	FTL	210	21	205	59	97.62	28.10	19.13	2.01	99
IND712311AAA -> IND781018AAB | FTL	IND712311AAA	IND781018AAB	FTL	203	8	203	134	100.00	66.01	60.21	3.05	100
IND501359AAE -> IND533106AAA | FTL	IND501359AAE	IND533106AAA	FTL	204	12	203	94	99.51	46.08	20.95	2.22	101
IND306401AAB -> IND302014AAA | FTL	IND306401AAB	IND302014AAA	FTL	216	17	203	61	93.98	28.24	15.5	1.9	102
IND600056AAB -> IND600032AAB | Carting	IND600056AAB	IND600032AAB	Carting	208	52	200	68	96.15	32.69	10.01	2.48	103
IND560099AAB -> IND683511AAA | FTL	IND560099AAB	IND683511AAA	FTL	223	14	196	23	87.89	10.31	15.74	1.5	104
IND395023AAA -> IND382430AAB | FTL	IND395023AAA	IND382430AAB	FTL	201	21	194	34	96.52	16.92	15.22	1.76	105
IND600056AAB -> IND562132AAA | FTL	IND600056AAB	IND562132AAA	FTL	208	16	190	27	91.35	12.98	11.91	1.52	106
IND421302AAG -> IND400015AAA | Carting	IND421302AAG	IND400015AAA	Carting	197	49	189	102	95.94	51.78	15.46	3.17	107
IND201301AAM -> IND000000ACB | Carting	IND201301AAM	IND000000ACB	Carting	207	27	182	43	87.92	20.77	12.76	1.83	108
IND302014AAA -> IND000000ACB | FTL	IND302014AAA	IND000000ACB	FTL	197	23	182	36	92.39	18.27	14.7	1.67	109
IND000000ACB -> IND122001AAA | Carting	IND000000ACB	IND122001AAA	Carting	220	57	181	60	82.27	27.27	7.55	3.22	110
IND121004AAB -> IND000000ACB | Carting	IND121004AAB	IND000000ACB	Carting	181	34	179	54	98.90	29.83	12.5	1.96	111
IND000000ACB -> IND121004AAB | Carting	IND000000ACB	IND121004AAB	Carting	181	31	177	59	97.79	32.60	9.84	2.54	112
IND302014AAA -> IND313001AAB | FTL	IND302014AAA	IND313001AAB	FTL	178	12	177	43	99.44	24.16	17.84	1.88	113
IND413401AAA -> IND411033AAA | FTL	IND413401AAA	IND411033AAA	FTL	187	19	176	52	94.12	27.81	18.31	1.87	114
IND457226AAA -> IND382430AAB | FTL	IND457226AAA	IND382430AAB	FTL	200	16	176	44	88.00	22.00	16.89	1.69	115
IND206001AAA -> IND000000ACB | FTL	IND206001AAA	IND000000ACB	FTL	243	20	174	50	71.60	20.58	12.29	1.49	116
IND500010AAB -> IND501359AAE | Carting	IND500010AAB	IND501359AAE	Carting	175	39	173	75	98.86	42.86	17.38	2.54	117
IND400072AAB -> IND421302AAG | Carting	IND400072AAB	IND421302AAG	Carting	171	63	171	116	100.00	67.84	25.34	5.06	118
IND413002AAA -> IND501359AAE | FTL	IND413002AAA	IND501359AAE	FTL	208	17	171	97	82.21	46.63	21.13	2.31	119
IND121004AAB -> IND121102AAA | Carting	IND121004AAB	IND121102AAA	Carting	189	41	171	58	90.48	30.69	6.51	1.98	120
IND562132AAA -> IND560083AAB | Carting	IND562132AAA	IND560083AAB	Carting	199	50	171	22	85.93	11.06	9.14	2.17	121
IND263153AAB -> IND131028AAB | FTL	IND263153AAB	IND131028AAB	FTL	187	17	168	47	89.84	25.13	19.03	2.07	122
IND000000ACT -> IND000000ACB | Carting	IND000000ACT	IND000000ACB	Carting	193	43	168	33	87.05	17.10	7.99	2.64	123
IND110037AAK -> IND000000ACB | Carting	IND110037AAK	IND000000ACB	Carting	177	43	167	66	94.35	37.29	23.98	3.91	124
IND000000ACB -> IND110095AAB | Carting	IND000000ACB	IND110095AAB	Carting	266	36	167	84	62.78	31.58	12.82	2.05	125
IND110064AAA -> IND000000ACB | Carting	IND110064AAA	IND000000ACB	Carting	223	39	166	37	74.44	16.59	51.52	6.4	126
IND811399AAA -> IND209304AAA | FTL	IND811399AAA	IND209304AAA	FTL	170	10	166	24	97.65	14.12	12.45	1.67	127
IND751002AAB -> IND530012AAA | FTL	IND751002AAB	IND530012AAA	FTL	176	10	162	25	92.05	14.20	12.55	1.92	128
IND000000ACB -> IND302022AAD | FTL	IND000000ACB	IND302022AAD	FTL	179	20	161	19	89.94	10.61	12.46	1.65	129
IND562132AAA -> IND600056AAB | FTL	IND562132AAA	IND600056AAB	FTL	182	14	160	19	87.91	10.44	11.31	1.46	130
IND110044AAB -> IND131028AAB | Carting	IND110044AAB	IND131028AAB	Carting	199	40	157	69	78.89	34.67	8.56	2.05	131
IND423701AAB -> IND422011AAD | Carting	IND423701AAB	IND422011AAD	Carting	174	18	157	43	90.23	24.71	8.64	1.92	132
IND151001AAA -> IND160002AAC | FTL	IND151001AAA	IND160002AAC	FTL	161	21	157	18	97.52	11.18	12.59	1.53	133
IND421302AAG -> IND400102AAC | Carting	IND421302AAG	IND400102AAC	Carting	160	62	156	92	97.50	57.50	26.22	3.7	134
IND472001AAA -> IND485001AAC | FTL	IND472001AAA	IND485001AAC	FTL	155	16	155	90	100.00	58.06	26.36	2.63	135
IND562132AAA -> IND501359AAE | FTL	IND562132AAA	IND501359AAE	FTL	176	8	155	30	88.07	17.05	12.63	1.58	136
IND600056AAB -> IND501359AAE | FTL	IND600056AAB	IND501359AAE	FTL	161	7	154	35	95.65	21.74	16.07	1.9	137
IND122004AAA -> IND122413AAE | Carting	IND122004AAA	IND122413AAE	Carting	164	43	154	34	93.90	20.73	7.59	2.29	138
IND600056AAB -> IND600008AAC | Carting	IND600056AAB	IND600008AAC	Carting	156	32	153	76	98.08	48.72	15.71	3.94	139
IND614620AAA -> IND630561AAA | Carting	IND614620AAA	IND630561AAA	Carting	154	16	153	36	99.35	23.38	6.97	2.11	140
IND395023AAA -> IND411033AAA | FTL	IND395023AAA	IND411033AAA	FTL	154	11	149	61	96.75	39.61	34.38	2.47	141
IND421302AAG -> IND401104AAA | Carting	IND421302AAG	IND401104AAA	Carting	148	78	148	104	100.00	70.27	28.64	3.4	142
IND781018AAB -> IND712311AAA | FTL	IND781018AAB	IND712311AAA	FTL	149	6	148	86	99.33	57.72	59.97	3.08	143
IND834002AAB -> IND827013AAA | Carting	IND834002AAB	IND827013AAA	Carting	169	17	147	121	86.98	71.60	27.45	3.35	144
IND390022AAA -> IND395023AAA | FTL	IND390022AAA	IND395023AAA	FTL	147	21	147	30	100.00	20.41	13.46	1.85	145
IND110037AAM -> IND202001AAB | FTL	IND110037AAM	IND202001AAB	FTL	152	26	145	49	95.39	32.24	18.93	2.46	146
IND712311AAA -> IND834002AAB | FTL	IND712311AAA	IND834002AAB	FTL	169	13	145	52	85.80	30.77	24.83	1.95	147
IND400072AAB -> IND401104AAA | Carting	IND400072AAB	IND401104AAA	Carting	144	72	144	133	100.00	92.36	17.01	3.13	148
IND562132AAA -> IND518002AAA | FTL	IND562132AAA	IND518002AAA	FTL	168	12	144	17	85.71	10.12	9.72	1.42	149
IND431517AAB -> IND411033AAA | FTL	IND431517AAB	IND411033AAA	FTL	151	12	143	103	94.70	68.21	29.47	2.56	150
IND518002AAA -> IND562132AAA | FTL	IND518002AAA	IND562132AAA	FTL	152	11	143	11	94.08	7.24	8.76	1.47	151
IND788026AAC -> IND781018AAB | FTL	IND788026AAC	IND781018AAB	FTL	141	18	141	93	100.00	65.96	43.52	2.47	152
IND501359AAE -> IND500010AAB | Carting	IND501359AAE	IND500010AAB	Carting	143	33	141	51	98.60	35.66	21.1	2.26	153
IND000000ACB -> IND110037AAK | Carting	IND000000ACB	IND110037AAK	Carting	158	39	141	51	89.24	32.28	13.78	2.87	154
IND600056AAB -> IND560099AAB | FTL	IND600056AAB	IND560099AAB	FTL	146	13	141	28	96.58	19.18	14.21	1.66	155
IND000000ACB -> IND110085AAB | Carting	IND000000ACB	IND110085AAB	Carting	165	24	140	28	84.85	16.97	7.07	2.51	156
IND683511AAA -> IND562132AAA | FTL	IND683511AAA	IND562132AAA	FTL	160	10	140	27	87.50	16.88	22.61	1.72	157
IND501359AAE -> IND585104AAA | FTL	IND501359AAE	IND585104AAA	FTL	167	21	140	16	83.83	9.58	12.29	1.6	158
IND382430AAB -> IND313001AAB | FTL	IND382430AAB	IND313001AAB	FTL	143	14	138	50	96.50	34.97	18.65	1.96	159
IND121002AAB -> IND000000ACB | Carting	IND121002AAB	IND000000ACB	Carting	155	29	137	46	88.39	29.68	17.74	2.14	160
IND533106AAA -> IND501359AAE | FTL	IND533106AAA	IND501359AAE	FTL	136	8	136	79	100.00	58.09	25.03	2.46	161
IND516115AAA -> IND517501AAB | Carting	IND516115AAA	IND517501AAB	Carting	135	17	135	107	100.00	79.26	11.9	2.58	162
IND413002AAA -> IND421302AAG | FTL	IND413002AAA	IND421302AAG	FTL	143	9	135	49	94.41	34.27	25.64	2.22	163
IND421302AAG -> IND400015AAB | Carting	IND421302AAG	IND400015AAB	Carting	139	31	133	69	95.68	49.64	10.4	2.84	164
IND152026AAA -> IND000000ACA | FTL	IND152026AAA	IND000000ACA	FTL	133	19	133	46	100.00	34.59	58.19	3.37	165
IND586211AAA -> IND585314AAA | Carting	IND586211AAA	IND585314AAA	Carting	143	16	133	31	93.01	21.68	8.71	1.84	166
IND302014AAA -> IND110037AAM | FTL	IND302014AAA	IND110037AAM	FTL	154	14	133	27	86.36	17.53	12.66	1.66	167
IND000000ABD -> IND562132AAA | FTL	IND000000ABD	IND562132AAA	FTL	144	12	133	24	92.36	16.67	20.53	1.58	168
IND382430AAB -> IND370201AAA | FTL	IND382430AAB	IND370201AAA	FTL	137	12	132	15	96.35	10.95	15.3	1.74	169
IND400072AAB -> IND000000AFT | Carting	IND400072AAB	IND000000AFT	Carting	131	67	131	104	100.00	79.39	18.29	3.03	170
IND177033AAA -> IND160002AAC | FTL	IND177033AAA	IND160002AAC	FTL	142	18	131	55	92.25	38.73	47.23	2.93	171
IND000000ACT -> IND131028AAB | Carting	IND000000ACT	IND131028AAB	Carting	164	39	131	46	79.88	28.05	9.49	1.9	172
IND302022AAD -> IND000000ACB | Carting	IND302022AAD	IND000000ACB	Carting	153	7	131	24	85.62	15.69	5.58	1.71	173
IND313001AAB -> IND382430AAB | FTL	IND313001AAB	IND382430AAB	FTL	140	14	130	60	92.86	42.86	21.34	2.17	174
IND431136AAC -> IND411033AAA | FTL	IND431136AAC	IND411033AAA	FTL	130	13	130	43	100.00	33.08	17.52	2.23	175
IND110037AAM -> IND121004AAB | Carting	IND110037AAM	IND121004AAB	Carting	138	46	129	63	93.48	45.65	14.27	2.62	176
IND523002AAA -> IND600056AAB | FTL	IND523002AAA	IND600056AAB	FTL	141	11	129	20	91.49	14.18	14.48	1.71	177
IND521225AAB -> IND501359AAE | FTL	IND521225AAB	IND501359AAE	FTL	132	11	128	30	96.97	22.73	17.56	1.82	178
IND517583AAA -> IND516101AAA | Carting	IND517583AAA	IND516101AAA	Carting	127	19	127	91	100.00	71.65	8.38	2.31	179
IND501359AAE -> IND413002AAA | FTL	IND501359AAE	IND413002AAA	FTL	136	11	127	63	93.38	46.32	22.52	3.25	180
IND585104AAA -> IND586128AAA | Carting	IND585104AAA	IND586128AAA	Carting	131	15	127	23	96.95	17.56	6.72	1.87	181
IND000000ACB -> IND000000AEL | Carting	IND000000ACB	IND000000AEL	Carting	137	23	126	46	91.97	33.58	12.39	2.34	182
IND210501AAB -> IND209304AAA | Carting	IND210501AAB	IND209304AAA	Carting	141	16	122	95	86.52	67.38	15.54	3.42	183
IND501359AAE -> IND523002AAA | FTL	IND501359AAE	IND523002AAA	FTL	143	12	122	32	85.31	22.38	14.75	1.56	184
IND160002AAC -> IND142001AAB | FTL	IND160002AAC	IND142001AAB	FTL	126	18	122	14	96.83	11.11	10.91	1.63	185
IND501359AAE -> IND518002AAA | FTL	IND501359AAE	IND518002AAA	FTL	127	16	121	27	95.28	21.26	13.31	1.79	186
IND845455AAB -> IND842001AAA | FTL	IND845455AAB	IND842001AAA	FTL	119	17	119	65	100.00	54.62	26.61	2.44	187
IND411033AAA -> IND431136AAC | FTL	IND411033AAA	IND431136AAC	FTL	120	12	119	59	99.17	49.17	19.68	2.12	188
IND302014AAA -> IND301001AAB | FTL	IND302014AAA	IND301001AAB	FTL	126	21	119	25	94.44	19.84	12.98	1.95	189
IND421302AAG -> IND422011AAD | FTL	IND421302AAG	IND422011AAD	FTL	126	21	117	29	92.86	23.02	12.78	2.2	190
IND249407AAA -> IND131028AAB | FTL	IND249407AAA	IND131028AAB	FTL	116	18	116	60	100.00	51.72	48.77	2.75	191
IND160002AAC -> IND143001AAA | FTL	IND160002AAC	IND143001AAA	FTL	121	11	115	30	95.04	24.79	15.87	1.99	192
IND142001AAB -> IND152026AAA | FTL	IND142001AAB	IND152026AAA	FTL	115	29	115	12	100.00	10.43	10.84	1.8	193
IND641062AAD -> IND642126AAA | Carting	IND641062AAD	IND642126AAA	Carting	118	17	115	11	97.46	9.32	7.55	1.92	194
IND244221AAA -> IND131028AAB | FTL	IND244221AAA	IND131028AAB	FTL	125	21	114	23	91.20	18.40	17.07	1.75	195
IND411033AAA -> IND416012AAA | FTL	IND411033AAA	IND416012AAA	FTL	121	13	114	19	94.21	15.70	15.49	1.61	196
IND402109AAA -> IND402301AAA | Carting	IND402109AAA	IND402301AAA	Carting	113	20	113	36	100.00	31.86	8.47	2.14	197
IND000000ACB -> IND110030AAD | Carting	IND000000ACB	IND110030AAD	Carting	133	28	113	37	84.96	27.82	9.41	1.9	198
IND209304AAA -> IND211002AAB | FTL	IND209304AAA	IND211002AAB	FTL	189	21	113	24	59.79	12.70	7.44	1.37	199
IND450331AAA -> IND452001AAC | Carting	IND450331AAA	IND452001AAC	Carting	113	13	112	66	99.12	58.41	10.16	2.51	200
IND673592AAA -> IND562132AAA | FTL	IND673592AAA	IND562132AAA	FTL	119	12	112	46	94.12	38.66	20.87	2.01	201
IND402301AAA -> IND402107AAA | Carting	IND402301AAA	IND402107AAA	Carting	113	13	112	40	99.12	35.40	9.02	2.22	202
IND313001AAB -> IND306401AAB | FTL	IND313001AAB	IND306401AAB	FTL	118	17	112	40	94.92	33.90	21.9	3.09	203
IND600056AAB -> IND600110AAA | Carting	IND600056AAB	IND600110AAA	Carting	112	28	112	28	100.00	25.00	12.34	1.89	204
IND501359AAE -> IND515004AAA | FTL	IND501359AAE	IND515004AAA	FTL	126	9	112	16	88.89	12.70	11.71	1.66	205
